0,10,5,0,0
0,15,0,0,0
2,5,3,5,1
1,12,4,3,2
2,8,7,6,2
3,8,4,5,7
10,4,8,6,2
27,38,28,37,7
3,31,4,5,30
22,39,19,14,6
46,50,21,13,42
36,23,14,2,38
44,27,37,15,34
7,19,40,28,13
10,43,45,32,14
25,34,16,28,5
32,20,39,43,50
17,49,9,11,5
13,46,1,22,24
11,47,49,22,19
44,39,36,29,5
6,42,35,2,8
20,19,29,40,49
40,6,12,14,8
23,13,5,40,32
3,26,21,28,16
43,47,16,6,26
49,49,49,17,27
1,19,45,27,41
26,8,21,5,15
24,37,29,26,37
7,32,49,20,28
48,14,2,14,38
21,17,15,14,33
35,49,26,37,29
44,18,33,47,4
32,1,37,29,30
25,22,36,2,18
25,22,24,49,24
35,48,32,1,49
37,14,43,35,11
31,43,12,10,24
47,39,35,44,22
0,3,5,1,30
18,37,16,14,19
4,35,45,24,11
38,49,30,17,25
3,41,26,25,21
10,2,48,3,39
25,4,13,22,31
40,13,33,4,29
38,47,12,18,12
36,10,4,34,13
46,40,14,18,35
37,49,7,10,11
5,2,5,43,12
19,28,10,37,11
49,29,21,43,23
16,14,18,49,13
16,34,20,35,4
29,48,40,6,4
41,9,32,15,18
49,8,26,25,23
45,34,26,38,31
18,13,46,35,3
17,12,31,17,5
13,24,36,27,30
30,29,10,11,27
36,22,43,37,48
25,12,50,20,35
38,33,26,48,38
15,5,34,39,10
9,12,41,49,11
45,7,30,33,29
43,34,30,2,7
2,13,8,6,32
29,32,36,31,29
49,50,45,46,30
14,9,37,46,29
4,38,28,12,17
32,42,17,13,32
47,37,3,13,18
26,6,15,41,9
32,26,5,32,27
17,33,42,25,11
26,25,34,9,46
48,34,42,3,2
47,19,23,9,21
19,25,10,40,39
35,19,2,25,33
48,46,31,17,43
32,30,41,6,5
39,12,27,42,24
41,27,6,7,5
29,20,46,5,24
20,49,20,40,27
14,47,45,23,2
40,22,36,17,2
26,36,48,32,8
16,35,13,29,24
